Gender,Ethnicity,Age,Parental Level of Education,Test Preparation Course,Math Score,Science Score,English Score
female,Malay,14,undergraduate degree,none,63,71,94
male,Chinese,13,undergraduate degree,none,73,42,78
male,Others,17,diploma,none,64,41,56
female,Malay,13,high school,none,27,53,50
female,Malay,14,undergraduate degree,none,24,40,58
female,Chinese,14,high school,completed,97,80,87
female,Chinese,15,high school,none,52,42,62
female,Indian,15,undergraduate degree,completed,75,83,89
female,Malay,15,high school,none,67,65,57
female,Malay,15,undergraduate degree,none,63,74,76
male,Malay,15,undergraduate degree,completed,67,89,93
male,Malay,16,postgraduate degree,none,24,64,71
female,Chinese,14,undergraduate degree,none,34,42,75
female,Malay,13,postgraduate degree,completed,63,95,86
female,Malay,14,high school,completed,52,94,95
male,Malay,17,high school,none,37,36,79
female,Others,17,diploma,none,60,79,77
male,Others,16,postgraduate degree,completed,85,53,71
female,Malay,15,high school,none,55,65,51
male,Malay,13,undergraduate degree,none,23,56,55
female,Chinese,15,undergraduate degree,none,66,47,78
female,Indian,17,high school,none,49,83,90
female,Malay,16,high school,none,59,32,78
female,Chinese,13,high school,completed,88,77,93
male,Chinese,13,undergraduate degree,none,74,47,45
male,Malay,16,diploma,none,57,66,65
male,Malay,13,undergraduate degree,none,41,71,77
male,Malay,14,undergraduate degree,none,84,72,77
female,Indian,16,high school,completed,51,68,76
male,Chinese,16,high school,none,31,30,49
female,Malay,15,high school,none,39,70,57
male,Malay,13,high school,none,38,81,91
male,Others,13,high school,none,26,75,75
female,Malay,13,undergraduate degree,completed,69,74,86
male,Chinese,15,high school,none,77,54,63
male,Malay,16,diploma,completed,50,50,73
male,Malay,17,undergraduate degree,none,74,43,45
female,Malay,13,high school,none,67,84,85
female,Malay,13,diploma,none,35,33,61
female,Malay,15,diploma,none,75,52,57
female,Malay,17,undergraduate degree,none,53,73,82
female,Malay,15,high school,completed,57,65,72
male,Chinese,17,undergraduate degree,completed,57,91,85
female,Malay,14,undergraduate degree,none,35,37,64
female,Others,13,undergraduate degree,none,33,49,54
male,Malay,17,high school,none,59,36,63
male,Chinese,13,diploma,completed,66,72,93
female,Indian,16,high school,none,40,47,79
male,Malay,17,diploma,none,43,57,49
male,Malay,14,undergraduate degree,none,69,70,69
male,Malay,15,high school,none,65,80,82
female,Malay,13,undergraduate degree,completed,79,58,64
male,Chinese,17,undergraduate degree,none,38,82,92
female,Others,13,postgraduate degree,completed,57,88,87
female,Malay,14,high school,none,78,55,71
male,Chinese,16,high school,none,27,30,59
female,Chinese,16,diploma,none,80,51,75
female,Chinese,13,high school,none,39,47,75
male,Chinese,16,high school,none,36,60,76
male,Chinese,14,undergraduate degree,none,71,33,48
male,Malay,17,undergraduate degree,none,49,48,64
female,Malay,14,high school,completed,65,89,91
female,Indian,16,undergraduate degree,completed,51,88,88
male,Indian,13,diploma,completed,61,60,80
female,Malay,16,undergraduate degree,completed,96,80,83
female,Indian,14,high school,none,54,39,62
male,Indian,13,high school,completed,81,69,77
male,Others,16,high school,completed,82,53,75
female,Chinese,17,undergraduate degree,none,79,83,79
male,Others,15,high school,completed,73,92,91
male,Chinese,14,high school,completed,62,97,86
male,Indian,16,diploma,completed,47,75,94
female,Malay,15,postgraduate degree,none,37,81,90
female,Chinese,13,postgraduate degree,none,71,54,55
male,Chinese,16,high school,completed,57,66,80
male,Indian,14,high school,completed,96,69,62
male,Indian,17,diploma,none,33,44,68
female,Malay,13,diploma,none,66,23,53
male,Chinese,13,undergraduate degree,none,78,73,78
male,Malay,16,undergraduate degree,completed,63,53,54
male,Malay,13,high school,none,52,70,53
female,Malay,17,high school,none,68,77,97
female,Indian,16,undergraduate degree,completed,76,57,69
male,Malay,14,undergraduate degree,none,33,37,79
female,Malay,13,high school,none,62,77,76
female,Malay,16,diploma,completed,75,56,47
male,Malay,16,high school,none,31,25,70
male,Malay,13,high school,completed,52,95,96
female,Chinese,15,undergraduate degree,completed,57,55,72
male,Others,17,diploma,completed,89,93,84
male,Malay,14,undergraduate degree,none,28,77,75
female,Chinese,13,high school,none,28,27,49
female,Chinese,16,undergraduate degree,none,60,75,77
male,Malay,16,diploma,none,68,29,78
male,Chinese,16,diploma,completed,78,70,75
female,Indian,13,high school,none,72,76,82
male,Malay,15,high school,completed,98,81,83
female,Indian,16,high school,none,82,83,93
male,Chinese,13,high school,none,37,57,73
female,Malay,14,undergraduate degree,none,76,49,74
female,Malay,17,high school,none,24,42,47
male,Malay,13,diploma,none,24,79,85
male,Indian,16,undergraduate degree,none,45,83,93
male,Malay,17,high school,completed,49,71,80
male,Chinese,17,undergraduate degree,completed,96,59,56
male,Chinese,16,diploma,completed,58,85,92
male,Malay,15,undergraduate degree,completed,97,70,80
female,Indian,17,diploma,none,62,52,80
male,Malay,17,undergraduate degree,none,40,35,69
female,Chinese,15,high school,none,65,75,96
female,Chinese,14,undergraduate degree,completed,74,85,81
female,Malay,14,undergraduate degree,completed,88,72,84
female,Others,16,high school,none,45,42,79
female,Chinese,15,diploma,completed,82,70,46
female,Chinese,17,diploma,completed,45,67,58
female,Indian,13,undergraduate degree,none,85,73,75
male,Malay,16,diploma,completed,56,63,52
female,Chinese,16,high school,none,56,72,76
female,Indian,15,high school,none,68,41,78
female,Chinese,16,high school,completed,88,98,93
male,Malay,17,diploma,none,29,41,70
male,Chinese,14,postgraduate degree,none,33,47,50
female,Chinese,13,high school,completed,80,59,54
female,Chinese,14,high school,none,67,75,94
male,Chinese,15,undergraduate degree,none,48,77,92
female,Malay,13,undergraduate degree,none,50,69,71
female,Malay,14,high school,none,63,70,77
male,Indian,13,undergraduate degree,completed,56,80,81
female,Malay,14,high school,none,63,31,49
female,Malay,13,diploma,completed,61,72,88
male,Malay,16,undergraduate degree,none,52,50,56
male,Chinese,14,diploma,none,55,31,55
male,Chinese,15,diploma,completed,62,58,60
male,Malay,15,high school,none,41,49,56
female,Chinese,16,undergraduate degree,completed,96,94,97
female,Malay,13,undergraduate degree,none,23,28,48
male,Malay,16,undergraduate degree,completed,83,65,59
male,Indian,13,high school,none,30,76,88
male,Chinese,15,high school,none,42,49,51
male,Chinese,16,undergraduate degree,completed,71,89,96
male,Malay,13,diploma,completed,62,92,96
female,Chinese,16,high school,none,78,73,90
female,Malay,16,undergraduate degree,none,42,51,79
male,Chinese,14,high school,completed,50,51,57
female,Malay,17,undergraduate degree,none,80,56,61
female,Malay,13,diploma,none,43,42,45
male,Malay,14,high school,none,84,39,66
female,Indian,15,high school,none,75,63,57
female,Malay,14,high school,none,46,45,79
female,Chinese,14,high school,none,43,58,75
female,Others,15,high school,completed,72,94,76
male,Malay,14,postgraduate degree,none,42,27,77
male,Malay,17,high school,none,42,70,53
male,Malay,17,undergraduate degree,none,53,79,88
male,Malay,14,undergraduate degree,none,78,35,47
male,Malay,16,high school,completed,74,98,80
female,Malay,15,postgraduate degree,none,54,33,78
female,Malay,17,high school,completed,95,64,63
female,Malay,13,undergraduate degree,completed,92,79,81
female,Indian,16,undergraduate degree,none,68,66,68
male,Others,15,diploma,completed,64,59,60
male,Malay,14,high school,none,58,40,47
male,Others,14,diploma,completed,53,89,83
female,Chinese,15,undergraduate degree,none,79,69,45
male,Malay,16,undergraduate degree,none,85,58,46
female,Malay,13,diploma,completed,65,81,98
male,Chinese,17,diploma,none,39,35,55
female,Malay,16,diploma,completed,68,56,79
female,Malay,16,undergraduate degree,none,83,34,74
female,Malay,16,high school,none,35,73,76
male,Malay,15,high school,completed,76,95,98
male,Indian,17,undergraduate degree,completed,58,62,74
female,Malay,16,high school,none,58,79,82
female,Malay,15,high school,none,31,85,90
female,Malay,15,undergraduate degree,none,25,33,56
male,Chinese,14,undergraduate degree,completed,47,65,65
male,Malay,13,undergraduate degree,completed,54,58,52
male,Chinese,15,undergraduate degree,none,67,45,51
male,Malay,17,high school,none,74,80,98
male,Chinese,13,high school,completed,71,75,86
male,Malay,14,postgraduate degree,none,30,43,56
male,Chinese,15,diploma,completed,68,98,98
male,Indian,13,high school,completed,66,72,90
female,Indian,14,high school,completed,61,74,76
male,Malay,13,undergraduate degree,none,53,81,82
male,Malay,16,diploma,none,79,82,96
female,Malay,17,undergraduate degree,none,68,25,79
female,Chinese,17,high school,completed,80,66,59
female,Others,16,high school,none,62,61,55
male,Others,16,high school,none,47,73,92
male,Malay,14,diploma,none,80,80,85
female,Others,16,undergraduate degree,none,55,34,57
female,Malay,17,high school,none,74,83,96
male,Chinese,13,high school,none,56,57,75
male,Malay,13,high school,none,53,47,67
male,Malay,13,undergraduate degree,none,59,84,78
male,Malay,16,diploma,completed,51,58,76
female,Malay,17,high school,completed,74,86,94
male,Others,15,diploma,none,60,78,85
male,Malay,15,high school,none,83,85,96
male,Malay,13,high school,completed,64,54,66
male,Malay,13,high school,none,59,76,93
male,Malay,14,high school,none,53,38,60
female,Others,17,undergraduate degree,none,57,23,75
female,Chinese,17,undergraduate degree,none,64,39,62
male,Malay,16,undergraduate degree,completed,66,71,85
male,Malay,14,undergraduate degree,completed,93,71,75
male,Chinese,14,high school,none,57,52,80
male,Malay,13,high school,completed,64,52,51
female,Malay,14,high school,none,64,55,47
male,Malay,13,diploma,none,76,49,55
male,Malay,14,high school,completed,83,54,62
female,Malay,13,high school,none,82,43,54
female,Malay,17,undergraduate degree,none,45,73,94
male,Malay,15,high school,none,82,79,89
male,Others,17,undergraduate degree,none,47,84,83
female,Malay,15,high school,completed,98,54,67
male,Malay,13,undergraduate degree,completed,46,65,75
male,Indian,16,undergraduate degree,none,64,80,91
female,Malay,13,postgraduate degree,completed,55,81,96
male,Malay,17,high school,none,46,70,50
female,Malay,16,high school,none,85,56,67
female,Others,13,undergraduate degree,none,77,23,59
female,Others,17,undergraduate degree,completed,67,73,81
male,Chinese,15,undergraduate degree,none,36,34,61
male,Indian,13,undergraduate degree,none,85,85,93
male,Malay,14,high school,none,37,72,79
male,Indian,15,undergraduate degree,completed,59,76,86
male,Chinese,16,high school,completed,55,50,71
female,Chinese,14,undergraduate degree,none,58,80,80
male,Indian,14,undergraduate degree,completed,48,93,83
male,Malay,16,high school,none,27,85,90
male,Malay,15,undergraduate degree,none,62,67,68
male,Malay,15,diploma,none,54,85,89
female,Chinese,16,undergraduate degree,none,44,77,84
male,Malay,14,diploma,none,40,32,79
male,Chinese,16,undergraduate degree,none,78,37,60
female,Malay,15,high school,completed,78,76,89
male,Malay,16,undergraduate degree,none,56,74,84
female,Chinese,15,undergraduate degree,none,32,63,70
female,Malay,15,diploma,completed,78,98,92
male,Chinese,15,undergraduate degree,none,48,28,46
male,Malay,15,diploma,none,84,74,90
male,Chinese,16,high school,none,32,60,70
male,Malay,16,high school,none,41,45,62
male,Indian,14,undergraduate degree,completed,70,85,92
male,Others,15,undergraduate degree,none,28,29,45
female,Chinese,16,undergraduate degree,none,27,53,80
female,Chinese,17,high school,completed,96,56,66
male,Chinese,14,postgraduate degree,none,85,49,66
male,Indian,17,undergraduate degree,none,63,55,70
male,Malay,13,high school,completed,92,73,76
female,Malay,17,high school,completed,98,89,93
male,Chinese,15,high school,none,81,28,54
male,Chinese,17,undergraduate degree,completed,51,66,80
male,Chinese,13,undergraduate degree,none,45,27,55
female,Malay,13,undergraduate degree,none,77,39,66
female,Indian,17,diploma,none,40,32,48
female,Indian,13,diploma,none,66,35,78
male,Malay,16,postgraduate degree,completed,72,60,50
male,Malay,14,diploma,none,31,40,77
male,Indian,14,diploma,none,37,65,68
male,Malay,14,high school,none,32,70,60
female,Others,15,high school,completed,97,94,87
male,Indian,14,undergraduate degree,none,69,76,76
female,Malay,17,undergraduate degree,completed,88,86,91
male,Malay,16,high school,none,56,79,75
female,Indian,15,diploma,completed,64,83,97
female,Malay,16,undergraduate degree,none,82,60,56
male,Malay,16,undergraduate degree,completed,50,67,71
male,Malay,16,high school,none,27,26,57
female,Malay,17,undergraduate degree,none,48,38,74
female,Malay,14,diploma,none,35,26,49
male,Malay,13,diploma,none,53,64,65
female,Malay,17,high school,none,25,40,46
male,Others,15,diploma,none,34,51,72
male,Malay,13,high school,none,44,42,63
female,Chinese,13,high school,none,41,79,91
female,Malay,17,undergraduate degree,none,33,36,55
female,Chinese,16,undergraduate degree,completed,73,70,70
female,Chinese,14,high school,none,44,26,54
male,Indian,17,high school,completed,73,76,75
male,Indian,14,undergraduate degree,none,71,24,63
female,Malay,16,undergraduate degree,none,82,71,80
male,Others,16,high school,none,40,57,52
male,Chinese,13,postgraduate degree,none,34,66,77
male,Malay,17,undergraduate degree,completed,63,55,45
male,Malay,15,diploma,completed,79,97,92
female,Malay,16,undergraduate degree,none,49,53,52
female,Indian,16,undergraduate degree,none,33,67,62
female,Indian,13,undergraduate degree,none,33,41,78
male,Chinese,13,high school,completed,74,72,86
female,Chinese,13,undergraduate degree,none,47,85,81
male,Indian,17,undergraduate degree,none,84,36,55
male,Chinese,15,high school,none,83,29,68
male,Indian,15,high school,completed,54,84,94
male,Malay,14,high school,none,40,34,77
male,Malay,13,diploma,completed,47,59,73
female,Malay,15,high school,completed,49,68,61
female,Malay,14,undergraduate degree,completed,66,57,59
female,Malay,14,high school,completed,71,95,92
male,Malay,14,postgraduate degree,completed,59,82,86
female,Malay,14,high school,completed,47,56,75
male,Chinese,16,high school,completed,96,60,53
male,Chinese,16,high school,completed,50,57,50
female,Malay,14,undergraduate degree,none,38,61,74
male,Malay,16,undergraduate degree,completed,64,64,64
male,Malay,17,high school,none,66,61,76
male,Malay,13,diploma,none,40,38,75
female,Indian,13,postgraduate degree,none,58,36,60
male,Malay,16,high school,none,31,68,64
female,Indian,16,undergraduate degree,none,59,49,66
male,Indian,16,postgraduate degree,none,45,29,67
female,Malay,15,diploma,none,65,60,53
male,Malay,17,undergraduate degree,none,35,67,68
male,Malay,15,undergraduate degree,none,36,73,92
female,Malay,15,high school,completed,74,79,78
male,Indian,13,undergraduate degree,none,25,80,76
female,Malay,16,diploma,none,49,24,79
male,Chinese,15,high school,none,49,72,96
male,Chinese,17,undergraduate degree,completed,70,82,84
female,Chinese,13,diploma,completed,56,65,58
female,Chinese,17,undergraduate degree,completed,94,57,52
female,Malay,14,diploma,none,85,39,78
male,Malay,17,undergraduate degree,none,33,64,57
female,Indian,14,undergraduate degree,none,76,46,66
male,Malay,17,undergraduate degree,none,70,34,62
male,Malay,13,undergraduate degree,none,25,71,91
male,Malay,17,diploma,completed,45,51,72
male,Chinese,15,diploma,none,55,62,60
female,Chinese,13,high school,none,47,66,80
female,Malay,15,high school,completed,92,64,72
female,Chinese,17,high school,completed,70,53,47
female,Malay,14,high school,none,82,74,86
female,Malay,17,undergraduate degree,none,30,40,57
female,Malay,16,postgraduate degree,none,47,70,57
female,Malay,15,high school,none,42,60,56
male,Malay,14,high school,none,55,81,88
female,Others,15,high school,none,81,56,69
male,Malay,17,undergraduate degree,completed,88,68,52
female,Indian,15,undergraduate degree,completed,77,92,89
female,Chinese,15,diploma,none,65,75,81
female,Malay,17,diploma,none,52,56,48
male,Malay,14,undergraduate degree,completed,57,85,88
male,Malay,16,high school,none,61,64,73
male,Chinese,17,diploma,completed,73,78,77
male,Malay,14,diploma,none,50,48,76
female,Malay,13,high school,completed,79,80,88
male,Chinese,14,undergraduate degree,completed,88,67,45
female,Malay,17,high school,none,40,65,76
female,Chinese,14,high school,none,29,85,76
female,Malay,16,high school,none,55,51,61
male,Others,14,undergraduate degree,none,45,50,58
male,Chinese,14,postgraduate degree,none,49,40,53
male,Others,17,high school,none,23,63,78
male,Malay,15,undergraduate degree,none,51,55,54
